"Frequency / Hz","Vm1:Measured voltage","Vm1:Measured voltage"
100,-118.25372205734665,179.59969759688681
200,-118.37833502142996,180.92556755421077
300,-118.5792864442372,180.22648333472875
400,-118.52397448444675,178.87900570900598
500,-118.33286298448624,178.95226031111741
600,-118.35725016568185,180.1079972742244
700,-118.50573874775409,179.90303856553714
800,-118.53210606640936,178.79042401306421
900,-118.40472388093509,178.60301694188647
1000,-118.34782128258163,179.30493213305181
1100,-118.44886259233205,179.42319699423331
1200,-118.49851692911662,178.70902070189629
1300,-118.4189219720694,178.41031431584938
1400,-118.38251717214307,178.40266923950054
1500,-118.39684766254254,178.90753692795619
1600,-118.4589681440294,178.74110347891312
1700,-118.47260355856271,178.16226850476991
1800,-118.37091051879712,178.04102395470889
1900,-118.3696855976366,178.21918540074188
2000,-118.39760591014539,178.33166758355546
2100,-118.42433864867579,177.99174627641119
2200,-118.40877416054121,177.56023594678689
2300,-118.34376964505928,177.58177527726079
2400,-118.35105538004976,177.62761234899878
2500,-118.37850809606435,177.65137885822591
2600,-118.39030882800807,177.48037120536941
2700,-118.35058917732414,177.16850785845668
2800,-118.32944007396853,177.15543969197566
2900,-118.32014965248152,177.10286621556781
3000,-118.32909971416558,177.03357050513137
3100,-118.33477655788131,176.9649080011211
3200,-118.32376772121972,176.7441383912726
3300,-118.3099758539803,176.69531544650587
3400,-118.27183088630184,176.56349701238543
3500,-118.28377022682155,176.59102429726082
3600,-118.25327224837886,176.47273275372115
3700,-118.26923715409501,176.37141442769692
3800,-118.26187180448744,176.32867522757567
3900,-118.24253416898542,176.09569391595704
4000,-118.20492644626546,175.99801359170422
4100,-118.20223404730262,176.12418458038374
4200,-118.20347398127376,175.90182807904992
4300,-118.18234019026859,175.94634520759112
4400,-118.17148007577863,175.63781399305836
4500,-118.14794165385675,175.32097627906023
4600,-118.15815711878541,175.3659330987679
4700,-118.13555397646664,175.25884044599604
4800,-118.12569435988229,175.25870809237864
4900,-118.11249792275552,175.18858571395529
5000,-118.11133656369309,175.08640899303597
5100,-118.08494636586198,174.90738382244791
5200,-118.05502743594532,174.85376958565712
5300,-118.06134139419416,174.70668010106496
5400,-118.04508630296938,174.59719697394414
5500,-118.03832784414355,174.46667815184549
5600,-118.0374767317345,174.49733739701162
5700,-118.00028436630832,174.35717540221492
5800,-117.99454775022623,174.10140020397179
5900,-117.96134786441515,174.29240469997075
6000,-117.94619275106355,174.09238369406546
6100,-117.95275248607567,173.98951028127249
6200,-117.93655707032087,173.91616482179026
6300,-117.90483374899125,173.82955136414722
6400,-117.84838440532381,173.6011014988062
6500,-117.8579092010477,173.62229590453126
6600,-117.83344538621436,173.53107590732313
6700,-117.80645031993629,173.41971218824682
6800,-117.80269488675427,173.42249786735889
6900,-117.78410986774827,173.30294176563473
7000,-117.76271489203657,172.93502476891433
7100,-117.74138721576452,172.8440415112137
7200,-117.73097325622977,172.70280310003639
7300,-117.70890215707786,172.82159512209549
7400,-117.68680037956872,172.63016717443594
7500,-117.66086077827052,172.28141285284693
7600,-117.64720215509116,172.30230023412039
7700,-117.60652362822539,171.86134185962146
7800,-117.60635290343441,171.68893857083927
7900,-117.4533680072019,171.76616497136428
8000,-117.24848664106869,173.88515973195919
8100,-117.50501048638127,171.06128211574023
8200,-117.55944239329075,171.97418288825475
8300,-117.44492538682246,172.12730225593947
8400,-117.39082177813492,171.44939942722411
8500,-117.41454517555829,171.217408690323
8600,-117.40674131856855,171.24321515078415
8700,-117.37508910208766,171.30394665608733
8800,-117.33884174968807,171.16557560393437
8900,-117.3034749081047,171.1385128590849
9000,-117.25886536662388,170.97976486568672
9100,-117.22396052283194,170.83583587709461
9200,-117.2313427572621,170.67340615476942
9300,-117.20434382027844,170.57723582470467
9400,-117.20716955098153,170.54897715542839
9500,-117.13749242767712,170.55970563470842
9600,-117.09184542307541,170.36323170964883
9700,-117.0580872393503,170.16337796972795
9800,-117.01223836895679,170.10196386333814
9900,-116.98269741805257,169.96213287818674
10000,-116.99274166251467,169.79712396688743
11000,-116.65019788593514,168.76612259975107
12000,-116.24528269618047,167.51874942833643
13000,-115.79001964082215,166.35975064397616
14000,-115.30264735250108,165.00112750219432
15000,-114.73099506324846,163.5402719275101
16000,-113.99353038437839,162.40589440703732
17000,-113.29398087403263,160.47099361984354
18000,-112.40295497580607,158.21245220750714
19000,-111.37130665716751,155.94626655729226
20000,-110.11930658641951,153.0639061594226
21000,-108.61267979588493,149.23051517874359
22000,-106.69949241752155,143.58469351720555
23000,-104.27793731444237,134.47327922691863
24000,-101.20245801855435,117.06476855412193
25000,-98.754993898462672,83.313630022273315
26000,-100.10402584929894,41.857557644436234
27000,-103.50283132104872,17.746567675887761
28000,-106.58397547203799,5.8362700211226155
29000,-109.04559683223096,-1.1480796150940908
30000,-111.07484686640615,-5.5734983397309099
31000,-112.80572557769997,-8.9082917752332786
32000,-114.27921762588666,-11.411851065942834
33000,-115.59294500022466,-13.580281546152627
34000,-116.7917759720859,-15.246864551465324
35000,-117.828398526258,-17.143365554591259
36000,-118.84162121093199,-18.4416633200738
37000,-119.73076373406472,-19.735102079267314
38000,-120.54711812861336,-20.959344207083863
39000,-121.36768324894346,-22.311788211618371
40000,-122.1397120356331,-23.272555804193619
41000,-122.80274284272998,-24.480040559306357
42000,-123.47576623173222,-25.383594600299137
43000,-124.07496551920914,-26.410161529501323
44000,-124.70005928361395,-27.324153986456405
45000,-125.29345119658143,-28.404249274724393
46000,-125.85223296239755,-29.214260811184626
47000,-126.34408590405599,-30.070130849948079
48000,-126.90475622956367,-31.435109318790591
49000,-127.36274423545981,-31.757232521308293
50000,-127.86008429205756,-33.242973943373144
51000,-128.25887669615409,-33.129020784648539
52000,-128.83315750182624,-34.50288161922704
53000,-129.15198489458066,-35.649714478688814
54000,-129.56559659016199,-35.967078775304728
55000,-130.044182075094,-36.796698094908272
56000,-130.46178070039954,-38.037874484280778
57000,-130.78164131192071,-38.914145829135585
58000,-131.17375415106613,-39.385161118576278
59000,-131.52631981262755,-40.533464550175246
60000,-131.89326469600357,-41.071756563965671
61000,-132.24279963508218,-42.033660026899902
62000,-132.5874295919553,-42.8217484944944
63000,-132.93671013928017,-43.541793773044489
64000,-133.26927806297613,-44.339047307424281
65000,-133.59343311184904,-44.72817272154272
66000,-133.90020568538372,-45.586475520737025
67000,-134.24721107025894,-46.617470757407801
68000,-134.51095656464975,-47.310333254563623
69000,-134.79919772715309,-48.132805530978906
70000,-135.105613316123,-48.855308716766643
71000,-135.39837813129685,-49.638753285405777
